skill_name,jobs_count,total_clean_jobposts
regulatory reporting,477,
incident management,477,
printing,476,
construction management,476,
cleaning,476,
team building,476,
animation,476,
data warehousing,475,
creative thinking,474,
problem management,473,
solidworks,471,
sketch,471,
merchandising,470,
sales support,468,
equities,467,
market research,467,
development tools,467,
consolidation,466,
mobile applications,466,
technical writing,465,
cantonese,465,
internal audit,465,
conditioning,463,
back office,463,
stage,462,
analysts,462,
fico,461,
refinery,460,
library,460,
microsoft office software,460,
fix,459,
supervisory skills,459,
hive,458,
trade finance,458,
mongodb,457,
juniper,457,
iso 9001,456,
eeo,455,
estate management,455,
fixed income,455,
disaster recovery,454,
tas,454,
hrms,452,
diagrams,452,
inventory management,451,
accpac,451,
kinetics,450,
welding,449,
react,449,
senior executives,449,
emergency,448,
mobility,448,
financial institutions,448,
financial accounting,447,
core java,447,
branding,445,
agile scrum,445,
commodities,445,
application servers,444,
purchase,444,
service orientation,444,
utilities,444,
industrial engineering,442,
steel,442,
sme,440,
calculations,440,
forecast,440,
application design,439,
upgrades,439,
timing,439,
open minded,439,
memory,438,
devops,438,
capital markets,438,
reconciliation,437,
pharmacy,437,
documentations,436,
work life balance,436,
powershell,435,
marine engineering,434,
imaging,433,
map,433,
ssis,432,
cloud computing,432,
test driven development,431,
prototyping,431,
profitability,431,
pragmatic,430,
core banking,430,
requirements gathering,429,
oop,429,
ssl,429,
pos,428,
film,427,
websites,427,
characterization,426,
profilers,425,
computer software,425,
multitasking,425,
air conditioning,425,
analog,424,
wafer,424,
microstation,424,
as400,424,
usability,424,
chinese language,422,
versatile,422,
housekeeping,422,
jms,422,
classification,421,
rates,421,
tdd,420,
architects,420,
nas,419,
team leadership,419,
sports,418,
fmea,417,
listings,417,
valuation,416,
corporate sales,416,
proxy,416,
aviation,415,
gaap,415,
training and development,415,
taxation,414,
actuarial,413,
photography,412,
system implementation,412,
equipments,412,
saas,412,
pattern,412,
bash,412,
buying,411,
configuration management,411,
game,411,
google analytics,411,
adobe creative suite,410,
product design,410,
